method,alpha,N,trial,time_ms,comparisons
Insertion-based,512,65536,11,0.1056,3044
Insertion-based,512,65536,12,0.1076,3080
Insertion-based,512,65536,13,0.1076,3066
Insertion-based,512,65536,14,0.0965,3040
Insertion-based,512,65536,15,0.1082,3100
Insertion-based,512,65536,16,0.097,3106
Insertion-based,512,65536,17,0.1176,3058
Insertion-based,512,65536,18,0.1087,3059
Insertion-based,512,65536,19,0.1037,3087
Insertion-based,512,65536,20,0.119,3055
Insertion-based,512,131072,1,0.3472,6552
Insertion-based,512,131072,2,0.2648,6502
Insertion-based,512,131072,3,0.2805,6548
Insertion-based,512,131072,4,0.2881,6581
Insertion-based,512,131072,5,0.3142,6546
Insertion-based,512,131072,6,0.2717,6506
Insertion-based,512,131072,7,0.3038,6494
Insertion-based,512,131072,8,0.245,6522
Insertion-based,512,131072,9,0.2576,6569
Insertion-based,512,131072,10,0.2635,6443
Insertion-based,512,131072,11,0.2979,6535
Insertion-based,512,131072,12,0.3075,6534
Insertion-based,512,131072,13,0.2736,6501
Insertion-based,512,131072,14,0.53,6551
Insertion-based,512,131072,15,0.2656,6516
Insertion-based,512,131072,16,0.2701,6525
Insertion-based,512,131072,17,0.2599,6426
Insertion-based,512,131072,18,0.2635,6473
Insertion-based,512,131072,19,0.2641,6492
Insertion-based,512,131072,20,0.2703,6587
Insertion-based,512,262144,1,0.8571,13726
Insertion-based,512,262144,2,0.7732,13824
Insertion-based,512,262144,3,0.6719,13856
Insertion-based,512,262144,4,0.7131,13782
Insertion-based,512,262144,5,0.646,13838
Insertion-based,512,262144,6,0.6533,13810
Insertion-based,512,262144,7,0.623,13799
Insertion-based,512,262144,8,0.7762,13789
Insertion-based,512,262144,9,0.6221,13823
Insertion-based,512,262144,10,0.7351,13773
Insertion-based,512,262144,11,0.6443,13812
Insertion-based,512,262144,12,0.6197,13853
Insertion-based,512,262144,13,0.642,13856
Insertion-based,512,262144,14,0.6721,13772
Insertion-based,512,262144,15,0.8553,13768
Insertion-based,512,262144,16,0.6463,13861
Insertion-based,512,262144,17,0.6455,13826
Insertion-based,512,262144,18,0.6642,13814
Insertion-based,512,262144,19,0.6981,13861
Insertion-based,512,262144,20,0.7492,13796
Insertion-based,512,524288,1,1.5358,29191
Insertion-based,512,524288,2,1.5886,29177
Insertion-based,512,524288,3,1.5259,29152
Insertion-based,512,524288,4,1.4407,29184
Insertion-based,512,524288,5,1.6543,29245
Insertion-based,512,524288,6,1.4076,29238
Insertion-based,512,524288,7,1.6265,29129
Insertion-based,512,524288,8,1.5062,29123
Insertion-based,512,524288,9,1.6811,29165
Insertion-based,512,524288,10,1.5872,29161
Insertion-based,512,524288,11,1.4703,29081
Insertion-based,512,524288,12,1.5798,29076
Insertion-based,512,524288,13,1.5194,29169
Insertion-based,512,524288,14,1.556,29166
Insertion-based,512,524288,15,1.4921,29175
Insertion-based,512,524288,16,1.607,29305
Insertion-based,512,524288,17,2.0761,29212
Insertion-based,512,524288,18,1.4726,29135
Insertion-based,512,524288,19,1.4611,29348
Insertion-based,512,524288,20,1.4821,29130
Insertion-based,512,1048576,1,3.2058,61374
Insertion-based,512,1048576,2,3.3646,61460
Insertion-based,512,1048576,3,3.2318,61378
Insertion-based,512,1048576,4,3.2817,61538
Insertion-based,512,1048576,5,3.5406,61550
Insertion-based,512,1048576,6,3.4681,61323
Insertion-based,512,1048576,7,3.2251,61467
Insertion-based,512,1048576,8,3.3162,61473
Insertion-based,512,1048576,9,3.2167,61462
Insertion-based,512,1048576,10,3.4505,61538
Insertion-based,512,1048576,11,4.5617,61197
Insertion-based,512,1048576,12,3.6376,61514
Insertion-based,512,1048576,13,3.2495,61426
Insertion-based,512,1048576,14,3.2256,61305
Insertion-based,512,1048576,15,3.2517,61537
Insertion-based,512,1048576,16,3.3183,61394
Insertion-based,512,1048576,17,3.759,61578
Insertion-based,512,1048576,18,3.2373,61423
Insertion-based,512,1048576,19,3.239,61506
Insertion-based,512,1048576,20,3.2761,61427
Insertion-based,4096,4096,1,0.0018,19
Insertion-based,4096,4096,2,0.0009,17
Insertion-based,4096,4096,3,0.0009,17
Insertion-based,4096,4096,4,0.0017,16
Insertion-based,4096,4096,5,0.0009,15
Insertion-based,4096,4096,6,0.0009,18
Insertion-based,4096,4096,7,0.0057,17
Insertion-based,4096,4096,8,0.0019,17
Insertion-based,4096,4096,9,0.0009,20
Insertion-based,4096,4096,10,0.0008,16
Insertion-based,4096,4096,11,0.0007,19
Insertion-based,4096,4096,12,0.0008,19
Insertion-based,4096,4096,13,0.001,18
Insertion-based,4096,4096,14,0.0013,22
Insertion-based,4096,4096,15,0.0007,21
Insertion-based,4096,4096,16,0.0008,21
Insertion-based,4096,4096,17,0.0008,20
Insertion-based,4096,4096,18,0.0008,18
Insertion-based,4096,4096,19,0.0009,22
Insertion-based,4096,4096,20,0.001,15
Insertion-based,4096,8192,1,0.0026,40
Insertion-based,4096,8192,2,0.0056,37
Insertion-based,4096,8192,3,0.0026,42
Insertion-based,4096,8192,4,0.0028,36
Insertion-based,4096,8192,5,0.0027,37
Insertion-based,4096,8192,6,0.0022,38
Insertion-based,4096,8192,7,0.0017,39
Insertion-based,4096,8192,8,0.0025,40
Insertion-based,4096,8192,9,0.0012,41
Insertion-based,4096,8192,10,0.0013,38
Insertion-based,4096,8192,11,0.0015,38
Insertion-based,4096,8192,12,0.0014,43
Insertion-based,4096,8192,13,0.0012,36
Insertion-based,4096,8192,14,0.0014,37
Insertion-based,4096,8192,15,0.0015,37
Insertion-based,4096,8192,16,0.0013,39
Insertion-based,4096,8192,17,0.0012,39
Insertion-based,4096,8192,18,0.0013,39
Insertion-based,4096,8192,19,0.0013,33
Insertion-based,4096,8192,20,0.0014,38
Insertion-based,4096,16384,1,0.005,89
Insertion-based,4096,16384,2,0.0046,85
Insertion-based,4096,16384,3,0.0043,86
Insertion-based,4096,16384,4,0.0025,85
Insertion-based,4096,16384,5,0.003,85
Insertion-based,4096,16384,6,0.0027,82
Insertion-based,4096,16384,7,0.0028,88
Insertion-based,4096,16384,8,0.0026,81
Insertion-based,4096,16384,9,0.0055,76
Insertion-based,4096,16384,10,0.0032,83
Insertion-based,4096,16384,11,0.0031,85
Insertion-based,4096,16384,12,0.0026,87
Insertion-based,4096,16384,13,0.0026,86
Insertion-based,4096,16384,14,0.0025,84
Insertion-based,4096,16384,15,0.0027,86
Insertion-based,4096,16384,16,0.0027,89
Insertion-based,4096,16384,17,0.0038,84
Insertion-based,4096,16384,18,0.0026,85
Insertion-based,4096,16384,19,0.0031,83
Insertion-based,4096,16384,20,0.0026,89
Insertion-based,4096,32768,1,0.0071,180
Insertion-based,4096,32768,2,0.0105,179
Insertion-based,4096,32768,3,0.0096,186
Insertion-based,4096,32768,4,0.0075,181
Insertion-based,4096,32768,5,0.0141,173
Insertion-based,4096,32768,6,0.006,184
Insertion-based,4096,32768,7,0.0057,187
Insertion-based,4096,32768,8,0.0074,187
Insertion-based,4096,32768,9,0.0204,176
Insertion-based,4096,32768,10,0.0072,176
Insertion-based,4096,32768,11,0.0078,172
Insertion-based,4096,32768,12,0.0062,181
Insertion-based,4096,32768,13,0.0088,169
Insertion-based,4096,32768,14,0.0048,190
Insertion-based,4096,32768,15,0.0059,185
Insertion-based,4096,32768,16,0.0054,184
Insertion-based,4096,32768,17,0.0056,182
Insertion-based,4096,32768,18,0.0067,170
Insertion-based,4096,32768,19,0.009,177
Insertion-based,4096,32768,20,0.0061,175
Insertion-based,4096,65536,1,0.0143,400
Insertion-based,4096,65536,2,0.0209,373
Insertion-based,4096,65536,3,0.0201,375
Insertion-based,4096,65536,4,0.0287,391
Insertion-based,4096,65536,5,0.0154,388
Insertion-based,4096,65536,6,0.0221,380
Insertion-based,4096,65536,7,0.0164,393
Insertion-based,4096,65536,8,0.0137,410
Insertion-based,4096,65536,9,0.0193,391
Insertion-based,4096,65536,10,0.0149,384
Insertion-based,4096,65536,11,0.0179,380
Insertion-based,4096,65536,12,0.0169,388
Insertion-based,4096,65536,13,0.0174,381
Insertion-based,4096,65536,14,0.0191,386
Insertion-based,4096,65536,15,0.0183,372
Insertion-based,4096,65536,16,0.0198,369
Insertion-based,4096,65536,17,0.0175,389
Insertion-based,4096,65536,18,0.0187,383
Insertion-based,4096,65536,19,0.0187,394
Insertion-based,4096,65536,20,0.0213,383
Insertion-based,4096,131072,1,0.0538,838
Insertion-based,4096,131072,2,0.0385,821
Insertion-based,4096,131072,3,0.0421,793
Insertion-based,4096,131072,4,0.0425,810
Insertion-based,4096,131072,5,0.0482,802
Insertion-based,4096,131072,6,0.0483,831
Insertion-based,4096,131072,7,0.0539,824
Insertion-based,4096,131072,8,0.0428,824
Insertion-based,4096,131072,9,0.0437,798
Insertion-based,4096,131072,10,0.0406,824
Insertion-based,4096,131072,11,0.044,805
Insertion-based,4096,131072,12,0.0465,816
Insertion-based,4096,131072,13,0.0442,808
Insertion-based,4096,131072,14,0.0469,799
Insertion-based,4096,131072,15,0.0433,801
Insertion-based,4096,131072,16,0.0403,809
Insertion-based,4096,131072,17,0.0621,813
Insertion-based,4096,131072,18,0.0577,824
Insertion-based,4096,131072,19,0.044,829
Insertion-based,4096,131072,20,0.055,817
Insertion-based,4096,262144,1,0.1078,1746
Insertion-based,4096,262144,2,0.1151,1699
Insertion-based,4096,262144,3,0.1142,1712
Insertion-based,4096,262144,4,0.1124,1698
Insertion-based,4096,262144,5,0.1137,1693
Insertion-based,4096,262144,6,0.1038,1705
Insertion-based,4096,262144,7,0.1174,1754
Insertion-based,4096,262144,8,0.1361,1712
Insertion-based,4096,262144,9,0.1385,1747
Insertion-based,4096,262144,10,0.1106,1752
Insertion-based,4096,262144,11,0.1025,1745
Insertion-based,4096,262144,12,0.1059,1756
Insertion-based,4096,262144,13,0.1088,1733
Insertion-based,4096,262144,14,0.107,1719
Insertion-based,4096,262144,15,0.1207,1743
Insertion-based,4096,262144,16,0.1077,1736
Insertion-based,4096,262144,17,0.1212,1718
Insertion-based,4096,262144,18,0.1111,1719
Insertion-based,4096,262144,19,0.1224,1712
Insertion-based,4096,262144,20,0.1099,1751
Insertion-based,4096,524288,1,0.2553,3615
Insertion-based,4096,524288,2,0.2683,3616
Insertion-based,4096,524288,3,0.2481,3621
Insertion-based,4096,524288,4,0.2451,3635
Insertion-based,4096,524288,5,0.3264,3678
Insertion-based,4096,524288,6,0.2438,3664
Insertion-based,4096,524288,7,0.2571,3657
Insertion-based,4096,524288,8,0.2726,3682
Insertion-based,4096,524288,9,0.261,3625
Insertion-based,4096,524288,10,0.2678,3629
Insertion-based,4096,524288,11,0.2967,3640
Insertion-based,4096,524288,12,0.2685,3678
Insertion-based,4096,524288,13,0.2553,3647
Insertion-based,4096,524288,14,0.3243,3640
Insertion-based,4096,524288,15,0.2482,3632
Insertion-based,4096,524288,16,0.2934,3650
Insertion-based,4096,524288,17,0.2446,3621
Insertion-based,4096,524288,18,0.2408,3609
Insertion-based,4096,524288,19,0.2526,3655
Insertion-based,4096,524288,20,0.2421,3669
Insertion-based,4096,1048576,1,0.6226,7696
Insertion-based,4096,1048576,2,0.5541,7686
Insertion-based,4096,1048576,3,0.5508,7639
Insertion-based,4096,1048576,4,0.568,7720
Insertion-based,4096,1048576,5,0.5784,7726
Insertion-based,4096,1048576,6,0.57,7691
Insertion-based,4096,1048576,7,0.5547,7631
Insertion-based,4096,1048576,8,0.5094,7650
Insertion-based,4096,1048576,9,0.5202,7642
Insertion-based,4096,1048576,10,0.5453,7652
Insertion-based,4096,1048576,11,0.5562,7704
Insertion-based,4096,1048576,12,0.7178,7665
Insertion-based,4096,1048576,13,0.5572,7726
Insertion-based,4096,1048576,14,0.6783,7707
Insertion-based,4096,1048576,15,0.5627,7695
Insertion-based,4096,1048576,16,0.5554,7669
Insertion-based,4096,1048576,17,0.5702,7664
Insertion-based,4096,1048576,18,0.5398,7651
Insertion-based,4096,1048576,19,0.6066,7685
Insertion-based,4096,1048576,20,0.8381,7680
In-order trasversal,1,4096,1,0.7876,8191
In-order trasversal,1,4096,2,0.573,8191
In-order trasversal,1,4096,3,0.7429,8191
In-order trasversal,1,4096,4,0.617,8191
In-order trasversal,1,4096,5,0.6025,8190
In-order trasversal,1,4096,6,0.6177,8190
In-order trasversal,1,4096,7,0.8142,8190
In-order trasversal,1,4096,8,0.6338,8189
In-order trasversal,1,4096,9,0.6617,8187
In-order trasversal,1,4096,10,0.6984,8191
In-order trasversal,1,4096,11,0.6326,8191
In-order trasversal,1,4096,12,0.612,8186
In-order trasversal,1,4096,13,0.6027,8189
In-order trasversal,1,4096,14,0.6246,8188
In-order trasversal,1,4096,15,0.6182,8189
In-order trasversal,1,4096,16,0.6069,8190
In-order trasversal,1,4096,17,0.614,8191
In-order trasversal,1,4096,18,0.6042,8190
In-order trasversal,1,4096,19,0.6194,8189
In-order trasversal,1,4096,20,0.6592,8186
In-order trasversal,1,8192,1,1.4168,16382
In-order trasversal,1,8192,2,1.5206,16383
In-order trasversal,1,8192,3,1.3232,16382
In-order trasversal,1,8192,4,1.3266,16383
In-order trasversal,1,8192,5,1.8048,16383
In-order trasversal,1,8192,6,1.7038,16381
In-order trasversal,1,8192,7,1.3833,16381
In-order trasversal,1,8192,8,1.3599,16381
In-order trasversal,1,8192,9,1.3112,16383
In-order trasversal,1,8192,10,1.9373,16383
In-order trasversal,1,8192,11,1.3547,16382
In-order trasversal,1,8192,12,1.3153,16381
In-order trasversal,1,8192,13,1.3656,16383
In-order trasversal,1,8192,14,1.3652,16377
In-order trasversal,1,8192,15,1.3371,16379
In-order trasversal,1,8192,16,1.4137,16383
In-order trasversal,1,8192,17,1.6182,16383
In-order trasversal,1,8192,18,1.2637,16383
In-order trasversal,1,8192,19,1.2445,16381
In-order trasversal,1,8192,20,1.2661,16383
In-order trasversal,1,16384,1,3.0785,32765
In-order trasversal,1,16384,2,2.793,32767
In-order trasversal,1,16384,3,2.6036,32766
In-order trasversal,1,16384,4,2.6245,32766
In-order trasversal,1,16384,5,2.7468,32764
In-order trasversal,1,16384,6,2.5428,32767
In-order trasversal,1,16384,7,2.7467,32766
In-order trasversal,1,16384,8,2.7946,32767
In-order trasversal,1,16384,9,2.7568,32767
In-order trasversal,1,16384,10,2.6651,32767
In-order trasversal,1,16384,11,2.5162,32766
In-order trasversal,1,16384,12,2.6639,32767
In-order trasversal,1,16384,13,2.5568,32767
In-order trasversal,1,16384,14,2.7584,32766
In-order trasversal,1,16384,15,2.8941,32765
In-order trasversal,1,16384,16,3.946,32766
In-order trasversal,1,16384,17,2.7645,32767
In-order trasversal,1,16384,18,2.7671,32767
In-order trasversal,1,16384,19,2.6208,32758
In-order trasversal,1,16384,20,2.6194,32764
In-order trasversal,1,32768,1,9.9953,65535
In-order trasversal,1,32768,2,5.5883,65535
In-order trasversal,1,32768,3,5.6468,65532
In-order trasversal,1,32768,4,5.4623,65532
In-order trasversal,1,32768,5,5.4912,65531
In-order trasversal,1,32768,6,5.3231,65534
In-order trasversal,1,32768,7,5.3609,65534
In-order trasversal,1,32768,8,5.3255,65535
In-order trasversal,1,32768,9,5.9535,65534
In-order trasversal,1,32768,10,5.7317,65532
In-order trasversal,1,32768,11,7.0244,65534
In-order trasversal,1,32768,12,5.4863,65528
In-order trasversal,1,32768,13,5.1815,65534
In-order trasversal,1,32768,14,5.6416,65528
In-order trasversal,1,32768,15,5.6255,65534
In-order trasversal,1,32768,16,5.6936,65534
In-order trasversal,1,32768,17,5.9634,65534
In-order trasversal,1,32768,18,5.839,65534
In-order trasversal,1,32768,19,5.5829,65535
In-order trasversal,1,32768,20,5.8611,65528
In-order trasversal,1,65536,1,14.5092,131070
In-order trasversal,1,65536,2,11.9391,131063
In-order trasversal,1,65536,3,12.0615,131066
In-order trasversal,1,65536,4,11.2126,131065
In-order trasversal,1,65536,5,13.178,131064
In-order trasversal,1,65536,6,11.7235,131071
In-order trasversal,1,65536,7,10.8663,131068
In-order trasversal,1,65536,8,12.5103,131067
In-order trasversal,1,65536,9,11.2975,131071
In-order trasversal,1,65536,10,11.9324,131070
In-order trasversal,1,65536,11,11.9404,131069
In-order trasversal,1,65536,12,12.511,131069
In-order trasversal,1,65536,13,15.7297,131069
In-order trasversal,1,65536,14,12.286,131063
In-order trasversal,1,65536,15,11.5444,131066
In-order trasversal,1,65536,16,12.2674,131071
In-order trasversal,1,65536,17,11.2608,131068
In-order trasversal,1,65536,18,11.9524,131068
In-order trasversal,1,65536,19,12.8614,131071
In-order trasversal,1,65536,20,11.2386,131065
In-order trasversal,1,131072,1,25.6597,262136
In-order trasversal,1,131072,2,24.9224,262137
In-order trasversal,1,131072,3,32.7862,262142
In-order trasversal,1,131072,4,26.2774,262140
In-order trasversal,1,131072,5,27.3761,262141
In-order trasversal,1,131072,6,26.4194,262138
In-order trasversal,1,131072,7,26.4897,262139
In-order trasversal,1,131072,8,25.13,262137
In-order trasversal,1,131072,9,26.1559,262137
In-order trasversal,1,131072,10,25.2982,262136
In-order trasversal,1,131072,11,26.0572,262134
In-order trasversal,1,131072,12,30.5608,262132
In-order trasversal,1,131072,13,26.0715,262140
In-order trasversal,1,131072,14,28.5737,262139
In-order trasversal,1,131072,15,27.6957,262136
In-order trasversal,1,131072,16,26.8778,262138
In-order trasversal,1,131072,17,25.7325,262140
In-order trasversal,1,131072,18,26.1064,262135
In-order trasversal,1,131072,19,30.6877,262138
In-order trasversal,1,131072,20,24.075,262138
In-order trasversal,1,262144,1,53.0384,524272
In-order trasversal,1,262144,2,51.7289,524271
In-order trasversal,1,262144,3,50.907,524273
In-order trasversal,1,262144,4,52.9106,524273
In-order trasversal,1,262144,5,51.298,524276
In-order trasversal,1,262144,6,51.9157,524271
In-order trasversal,1,262144,7,51.9665,524271
In-order trasversal,1,262144,8,51.0713,524266
In-order trasversal,1,262144,9,52.501,524269
In-order trasversal,1,262144,10,49.7257,524264
In-order trasversal,1,262144,11,56.8042,524275
In-order trasversal,1,262144,12,53.5294,524274
In-order trasversal,1,262144,13,53.8071,524266
In-order trasversal,1,262144,14,52.6584,524273
In-order trasversal,1,262144,15,53.1396,524267
In-order trasversal,1,262144,16,56.0966,524267
In-order trasversal,1,262144,17,53.1349,524272
In-order trasversal,1,262144,18,52.413,524269
In-order trasversal,1,262144,19,52.407,524269
In-order trasversal,1,262144,20,53.6215,524272
In-order trasversal,1,524288,1,107.539,1048510
In-order trasversal,1,524288,2,106.814,1048520
In-order trasversal,1,524288,3,107.389,1048517
In-order trasversal,1,524288,4,107.8,1048511
In-order trasversal,1,524288,5,105.308,1048506
In-order trasversal,1,524288,6,108.562,1048526
In-order trasversal,1,524288,7,104.3,1048515
In-order trasversal,1,524288,8,104.752,1048509
In-order trasversal,1,524288,9,104.493,1048506
In-order trasversal,1,524288,10,101.205,1048511
In-order trasversal,1,524288,11,107.985,1048505
In-order trasversal,1,524288,12,103.94,1048504
In-order trasversal,1,524288,13,110.067,1048505
In-order trasversal,1,524288,14,105.784,1048507
In-order trasversal,1,524288,15,105.297,1048513
In-order trasversal,1,524288,16,108.399,1048493
In-order trasversal,1,524288,17,102.159,1048507
In-order trasversal,1,524288,18,103.181,1048521
In-order trasversal,1,524288,19,104.55,1048520
In-order trasversal,1,524288,20,104.061,1048518
In-order trasversal,1,1048576,1,210.554,2096894
In-order trasversal,1,1048576,2,211.632,2096906
In-order trasversal,1,1048576,3,209.602,2096893
In-order trasversal,1,1048576,4,210.344,2096880
In-order trasversal,1,1048576,5,207.249,2096901
In-order trasversal,1,1048576,6,208.038,2096898
In-order trasversal,1,1048576,7,204.713,2096882
In-order trasversal,1,1048576,8,209.11,2096913
In-order trasversal,1,1048576,9,208.804,2096893
In-order trasversal,1,1048576,10,217.066,2096891
In-order trasversal,1,1048576,11,215.369,2096920
In-order trasversal,1,1048576,12,206.825,2096906
In-order trasversal,1,1048576,13,206.095,2096895
In-order trasversal,1,1048576,14,211.005,2096914
In-order trasversal,1,1048576,15,222.235,2096877
In-order trasversal,1,1048576,16,206.915,2096887
In-order trasversal,1,1048576,17,213.637,2096888
In-order trasversal,1,1048576,18,208.954,2096888
In-order trasversal,1,1048576,19,210.309,2096873
In-order trasversal,1,1048576,20,208.223,2096881
In-order trasversal,8,4096,1,0.5401,4605
In-order trasversal,8,4096,2,0.378,4603
In-order trasversal,8,4096,3,0.341,4594
In-order trasversal,8,4096,4,0.4791,4601
In-order trasversal,8,4096,5,0.3679,4606
In-order trasversal,8,4096,6,0.3804,4600
In-order trasversal,8,4096,7,0.4159,4605
In-order trasversal,8,4096,8,0.5243,4574
In-order trasversal,8,4096,9,0.4461,4607
In-order trasversal,8,4096,10,0.4298,4574
In-order trasversal,8,4096,11,0.3983,4595
In-order trasversal,8,4096,12,0.4294,4601
In-order trasversal,8,4096,13,0.4233,4586
In-order trasversal,8,4096,14,0.4084,4607
In-order trasversal,8,4096,15,0.4033,4607
In-order trasversal,8,4096,16,0.4294,4607
In-order trasversal,8,4096,17,0.4047,4607
In-order trasversal,8,4096,18,0.37,4601
In-order trasversal,8,4096,19,0.422,4586
In-order trasversal,8,4096,20,0.4167,4592
In-order trasversal,8,8192,1,0.6641,9188
In-order trasversal,8,8192,2,0.6604,9210
In-order trasversal,8,8192,3,0.7268,9177
In-order trasversal,8,8192,4,0.7499,9212
In-order trasversal,8,8192,5,0.7271,9215
In-order trasversal,8,8192,6,0.7247,9207
In-order trasversal,8,8192,7,0.7219,9214
In-order trasversal,8,8192,8,1.1662,9213
In-order trasversal,8,8192,9,0.7286,9214
In-order trasversal,8,8192,10,0.7415,9208
In-order trasversal,8,8192,11,0.7398,9209
In-order trasversal,8,8192,12,0.7808,9215
In-order trasversal,8,8192,13,0.8126,9215
In-order trasversal,8,8192,14,0.8574,9215
In-order trasversal,8,8192,15,0.7198,9203
In-order trasversal,8,8192,16,0.8765,9204
In-order trasversal,8,8192,17,0.7906,9204
In-order trasversal,8,8192,18,0.7474,9215
In-order trasversal,8,8192,19,0.7112,9213
In-order trasversal,8,8192,20,0.712,9214
In-order trasversal,8,16384,1,1.4273,18431
In-order trasversal,8,16384,2,1.7732,18430
In-order trasversal,8,16384,3,1.5818,18419
In-order trasversal,8,16384,4,1.5085,18424
In-order trasversal,8,16384,5,2.1126,18425
In-order trasversal,8,16384,6,1.62,18428
In-order trasversal,8,16384,7,1.5092,18431
In-order trasversal,8,16384,8,1.5942,18422
In-order trasversal,8,16384,9,1.6633,18427
In-order trasversal,8,16384,10,1.436,18375
In-order trasversal,8,16384,11,1.4187,18423
In-order trasversal,8,16384,12,1.4005,18430
In-order trasversal,8,16384,13,1.4782,18416
In-order trasversal,8,16384,14,1.5302,18420
In-order trasversal,8,16384,15,1.3894,18424
In-order trasversal,8,16384,16,1.5081,18430
In-order trasversal,8,16384,17,1.4987,18414
In-order trasversal,8,16384,18,1.429,18407
In-order trasversal,8,16384,19,1.3826,18425
In-order trasversal,8,16384,20,1.3654,18431
In-order trasversal,8,32768,1,3.2424,36863
In-order trasversal,8,32768,2,3.1986,36850
In-order trasversal,8,32768,3,3.2355,36844
In-order trasversal,8,32768,4,2.9521,36858
In-order trasversal,8,32768,5,2.9784,36857
In-order trasversal,8,32768,6,2.9782,36851
In-order trasversal,8,32768,7,3.1315,36859
In-order trasversal,8,32768,8,3.0273,36858
In-order trasversal,8,32768,9,3.2204,36861
In-order trasversal,8,32768,10,3.3022,36863
In-order trasversal,8,32768,11,3.041,36850
In-order trasversal,8,32768,12,2.9895,36854
In-order trasversal,8,32768,13,2.8452,36846
In-order trasversal,8,32768,14,2.9127,36863
In-order trasversal,8,32768,15,3.0706,36862
In-order trasversal,8,32768,16,3.0183,36862
In-order trasversal,8,32768,17,3.7908,36862
In-order trasversal,8,32768,18,2.9798,36849
In-order trasversal,8,32768,19,3.6509,36863
In-order trasversal,8,32768,20,3.0861,36859
In-order trasversal,8,65536,1,6.0822,73727
In-order trasversal,8,65536,2,6.2557,73727
In-order trasversal,8,65536,3,6.0294,73723
In-order trasversal,8,65536,4,6.4822,73727
In-order trasversal,8,65536,5,5.9685,73721
In-order trasversal,8,65536,6,6.5801,73724
In-order trasversal,8,65536,7,6.4549,73725
In-order trasversal,8,65536,8,7.1646,73726
In-order trasversal,8,65536,9,6.6285,73717
In-order trasversal,8,65536,10,6.0738,73726
In-order trasversal,8,65536,11,5.8971,73722
In-order trasversal,8,65536,12,5.9159,73723
In-order trasversal,8,65536,13,5.8705,73721
In-order trasversal,8,65536,14,6.1998,73719
In-order trasversal,8,65536,15,7.9855,73714
In-order trasversal,8,65536,16,8.2531,73719
In-order trasversal,8,65536,17,6.0217,73726
In-order trasversal,8,65536,18,6.1343,73716
In-order trasversal,8,65536,19,5.907,73726
In-order trasversal,8,65536,20,7.328,73715
In-order trasversal,8,131072,1,14.2418,147438
In-order trasversal,8,131072,2,13.6644,147436
In-order trasversal,8,131072,3,14.1746,147452
In-order trasversal,8,131072,4,12.7919,147427
In-order trasversal,8,131072,5,11.977,147451
In-order trasversal,8,131072,6,13.1902,147448
In-order trasversal,8,131072,7,12.3479,147448
In-order trasversal,8,131072,8,12.6172,147451
In-order trasversal,8,131072,9,13.3786,147449
In-order trasversal,8,131072,10,12.6839,147448
In-order trasversal,8,131072,11,12.864,147455
In-order trasversal,8,131072,12,13.8419,147445
In-order trasversal,8,131072,13,12.6676,147449
In-order trasversal,8,131072,14,12.8304,147453
In-order trasversal,8,131072,15,12.2219,147453
In-order trasversal,8,131072,16,15.6117,147450
In-order trasversal,8,131072,17,12.6705,147450
In-order trasversal,8,131072,18,12.8432,147448
In-order trasversal,8,131072,19,14.3843,147453
In-order trasversal,8,131072,20,13.5719,147449
In-order trasversal,8,262144,1,28.8583,294903
In-order trasversal,8,262144,2,28.6126,294903
In-order trasversal,8,262144,3,27.19,294891
In-order trasversal,8,262144,4,26.9598,294876
In-order trasversal,8,262144,5,27.5024,294892
In-order trasversal,8,262144,6,29.8995,294900
In-order trasversal,8,262144,7,31.3501,294901
In-order trasversal,8,262144,8,29.9411,294883
In-order trasversal,8,262144,9,29.0111,294889
In-order trasversal,8,262144,10,27.9791,294893
In-order trasversal,8,262144,11,29.0287,294900
In-order trasversal,8,262144,12,26.7653,294907
In-order trasversal,8,262144,13,27.0904,294872
In-order trasversal,8,262144,14,27.6818,294901
In-order trasversal,8,262144,15,31.9132,294862
In-order trasversal,8,262144,16,28.6214,294893
In-order trasversal,8,262144,17,27.8,294880
In-order trasversal,8,262144,18,33.8439,294895
In-order trasversal,8,262144,19,28.1378,294892
In-order trasversal,8,262144,20,30.3084,294902
In-order trasversal,8,524288,1,60.9399,589770
In-order trasversal,8,524288,2,55.8692,589779
In-order trasversal,8,524288,3,63.1289,589783
In-order trasversal,8,524288,4,68.5293,589775
In-order trasversal,8,524288,5,57.5656,589781
In-order trasversal,8,524288,6,57.8705,589795
In-order trasversal,8,524288,7,57.6849,589771
In-order trasversal,8,524288,8,57.6054,589786
In-order trasversal,8,524288,9,56.6691,589782
In-order trasversal,8,524288,10,59.1962,589791
In-order trasversal,8,524288,11,71.425,589774
In-order trasversal,8,524288,12,55.1015,589786
In-order trasversal,8,524288,13,56.7074,589772
In-order trasversal,8,524288,14,56.8412,589779
In-order trasversal,8,524288,15,54.9597,589783
In-order trasversal,8,524288,16,56.7622,589794
In-order trasversal,8,524288,17,56.7135,589792
In-order trasversal,8,524288,18,56.2307,589786
In-order trasversal,8,524288,19,54.822,589793
In-order trasversal,8,524288,20,55.3042,589774
In-order trasversal,8,1048576,1,117.514,1179514
In-order trasversal,8,1048576,2,122.138,1179492
In-order trasversal,8,1048576,3,120.678,1179524
In-order trasversal,8,1048576,4,114.598,1179489
In-order trasversal,8,1048576,5,109.055,1179524
In-order trasversal,8,1048576,6,111.437,1179504
