method,alpha,N,trial,time_ms,comparisons
Insertion-based,1,262144,6,145.702,8663737
Insertion-based,1,262144,7,148.437,8661869
Insertion-based,1,262144,8,144.963,8671571
Insertion-based,1,262144,9,148.436,8658710
Insertion-based,1,262144,10,145.734,8555538
Insertion-based,1,262144,11,144.75,8644952
Insertion-based,1,262144,12,153.587,8664622
Insertion-based,1,262144,13,149.886,8653594
Insertion-based,1,262144,14,147.859,8639546
Insertion-based,1,262144,15,142.378,8580964
Insertion-based,1,262144,16,144.045,8521163
Insertion-based,1,262144,17,153.256,8660733
Insertion-based,1,262144,18,145.116,8663884
Insertion-based,1,262144,19,149.58,8660335
Insertion-based,1,262144,20,143.276,8725379
Insertion-based,1,524288,1,313.51,18188932
Insertion-based,1,524288,2,304.227,18230503
Insertion-based,1,524288,3,307.532,18302396
Insertion-based,1,524288,4,312.032,18309303
Insertion-based,1,524288,5,304.39,18379364
Insertion-based,1,524288,6,298.345,17981229
Insertion-based,1,524288,7,302.636,18315500
Insertion-based,1,524288,8,301.395,18266668
Insertion-based,1,524288,9,313.765,18259695
Insertion-based,1,524288,10,306.432,18176550
Insertion-based,1,524288,11,303.104,18394039
Insertion-based,1,524288,12,302.064,18397484
Insertion-based,1,524288,13,302.113,18178454
Insertion-based,1,524288,14,304.164,18302916
Insertion-based,1,524288,15,310.966,18263165
Insertion-based,1,524288,16,314.124,18385875
Insertion-based,1,524288,17,321.56,18260702
Insertion-based,1,524288,18,316.492,18347469
Insertion-based,1,524288,19,311.864,18305961
Insertion-based,1,524288,20,313.675,18292133
Insertion-based,1,1048576,1,654.597,38581335
Insertion-based,1,1048576,2,662.633,38541784
Insertion-based,1,1048576,3,651.609,38521443
Insertion-based,1,1048576,4,653.987,38584307
Insertion-based,1,1048576,5,649.906,38548307
Insertion-based,1,1048576,6,638.736,38472364
Insertion-based,1,1048576,7,632.322,38549558
Insertion-based,1,1048576,8,642.765,38327904
Insertion-based,1,1048576,9,640.319,38338762
Insertion-based,1,1048576,10,627.176,38312910
Insertion-based,1,1048576,11,628.351,38524381
Insertion-based,1,1048576,12,634.609,38463653
Insertion-based,1,1048576,13,641.267,38431022
Insertion-based,1,1048576,14,643.168,38581545
Insertion-based,1,1048576,15,637.035,38515097
Insertion-based,1,1048576,16,649.356,38472678
Insertion-based,1,1048576,17,648.813,38641184
Insertion-based,1,1048576,18,643.326,38596460
Insertion-based,1,1048576,19,645.476,38445241
Insertion-based,1,1048576,20,653.126,38463838
Insertion-based,8,4096,1,0.308,9955
Insertion-based,8,4096,2,0.18,9370
Insertion-based,8,4096,3,0.1745,9367
Insertion-based,8,4096,4,0.1746,9377
Insertion-based,8,4096,5,0.1826,9893
Insertion-based,8,4096,6,0.1842,9620
Insertion-based,8,4096,7,0.1764,9308
Insertion-based,8,4096,8,0.1584,9564
Insertion-based,8,4096,9,0.1535,9289
Insertion-based,8,4096,10,0.1669,9271
Insertion-based,8,4096,11,0.1688,9319
Insertion-based,8,4096,12,0.1657,9432
Insertion-based,8,4096,13,0.162,9340
Insertion-based,8,4096,14,0.1681,9379
Insertion-based,8,4096,15,0.1657,9293
Insertion-based,8,4096,16,0.1634,9346
Insertion-based,8,4096,17,0.1612,9339
Insertion-based,8,4096,18,0.1672,9283
Insertion-based,8,4096,19,0.2065,9800
Insertion-based,8,4096,20,0.1635,9360
Insertion-based,8,8192,1,0.3719,20176
Insertion-based,8,8192,2,0.3646,20162
Insertion-based,8,8192,3,0.4221,20204
Insertion-based,8,8192,4,0.3495,20152
Insertion-based,8,8192,5,0.3544,20236
Insertion-based,8,8192,6,0.33,20346
Insertion-based,8,8192,7,0.3592,21092
Insertion-based,8,8192,8,0.343,20211
Insertion-based,8,8192,9,0.363,21203
Insertion-based,8,8192,10,0.3617,20434
Insertion-based,8,8192,11,0.3682,20408
Insertion-based,8,8192,12,0.5056,20716
Insertion-based,8,8192,13,0.5043,20180
Insertion-based,8,8192,14,0.4845,20162
Insertion-based,8,8192,15,0.3911,20110
Insertion-based,8,8192,16,0.3429,20064
Insertion-based,8,8192,17,0.3532,20130
Insertion-based,8,8192,18,0.3553,21189
Insertion-based,8,8192,19,0.3464,20116
Insertion-based,8,8192,20,0.344,20251
Insertion-based,8,16384,1,0.9999,43401
Insertion-based,8,16384,2,0.817,46059
Insertion-based,8,16384,3,1.0556,45595
Insertion-based,8,16384,4,0.756,43587
Insertion-based,8,16384,5,0.7506,44530
Insertion-based,8,16384,6,0.769,46146
Insertion-based,8,16384,7,1.0695,45515
Insertion-based,8,16384,8,1.0527,43969
Insertion-based,8,16384,9,0.7383,43673
Insertion-based,8,16384,10,0.7771,43580
Insertion-based,8,16384,11,1.5297,45514
Insertion-based,8,16384,12,0.7539,44672
Insertion-based,8,16384,13,0.815,45815
Insertion-based,8,16384,14,0.7479,43561
Insertion-based,8,16384,15,0.7741,45832
Insertion-based,8,16384,16,0.7618,45655
Insertion-based,8,16384,17,0.7797,45767
Insertion-based,8,16384,18,0.7349,43467
Insertion-based,8,16384,19,0.859,44145
Insertion-based,8,16384,20,0.7342,43595
Insertion-based,8,32768,1,2.029,97619
Insertion-based,8,32768,2,1.6616,97963
Insertion-based,8,32768,3,2.4147,97196
Insertion-based,8,32768,4,1.6708,97756
Insertion-based,8,32768,5,1.6843,97291
Insertion-based,8,32768,6,1.6566,97685
Insertion-based,8,32768,7,1.6619,98482
Insertion-based,8,32768,8,2.1728,97663
Insertion-based,8,32768,9,1.6367,98591
Insertion-based,8,32768,10,1.6342,98057
Insertion-based,8,32768,11,1.69,98023
Insertion-based,8,32768,12,1.6982,97477
Insertion-based,8,32768,13,1.6729,95574
Insertion-based,8,32768,14,1.6926,98151
Insertion-based,8,32768,15,1.7081,97877
Insertion-based,8,32768,16,1.8193,96742
Insertion-based,8,32768,17,1.8151,98438
Insertion-based,8,32768,18,1.8125,97443
Insertion-based,8,32768,19,1.8257,97645
Insertion-based,8,32768,20,1.9529,98327
Insertion-based,8,65536,1,3.9846,207725
Insertion-based,8,65536,2,4.3248,207480
Insertion-based,8,65536,3,4.9576,207018
Insertion-based,8,65536,4,5.2396,208820
Insertion-based,8,65536,5,3.8526,209337
Insertion-based,8,65536,6,5.4988,208888
Insertion-based,8,65536,7,4.1112,208766
Insertion-based,8,65536,8,4.0418,206943
Insertion-based,8,65536,9,3.6627,203140
Insertion-based,8,65536,10,3.7533,207639
Insertion-based,8,65536,11,3.6027,208803
Insertion-based,8,65536,12,4.5468,209007
Insertion-based,8,65536,13,3.5024,207544
Insertion-based,8,65536,14,3.5423,207102
Insertion-based,8,65536,15,3.8242,209008
Insertion-based,8,65536,16,3.5931,209246
Insertion-based,8,65536,17,5.1221,200638
Insertion-based,8,65536,18,3.8222,207492
Insertion-based,8,65536,19,3.534,209097
Insertion-based,8,65536,20,4.186,208756
Insertion-based,8,131072,1,9.0908,440353
Insertion-based,8,131072,2,8.2511,444612
Insertion-based,8,131072,3,9.1227,443296
Insertion-based,8,131072,4,8.5816,444574
Insertion-based,8,131072,5,8.2079,444216
Insertion-based,8,131072,6,10.6154,444737
Insertion-based,8,131072,7,7.8259,438778
Insertion-based,8,131072,8,10.8388,442651
Insertion-based,8,131072,9,7.4466,443707
Insertion-based,8,131072,10,7.6022,443517
Insertion-based,8,131072,11,8.825,443255
Insertion-based,8,131072,12,7.8818,439340
Insertion-based,8,131072,13,7.8456,442497
Insertion-based,8,131072,14,7.5629,443648
Insertion-based,8,131072,15,8.3831,443128
Insertion-based,8,131072,16,7.6056,443688
Insertion-based,8,131072,17,8.0238,440712
Insertion-based,8,131072,18,9.7212,442596
Insertion-based,8,131072,19,7.7568,441080
Insertion-based,8,131072,20,7.7856,440951
Insertion-based,8,262144,1,19.6203,935830
Insertion-based,8,262144,2,18.1351,936183
Insertion-based,8,262144,3,19.4017,941926
Insertion-based,8,262144,4,18.528,938463
Insertion-based,8,262144,5,19.8268,937117
Insertion-based,8,262144,6,19.3236,938545
Insertion-based,8,262144,7,16.808,941104
Insertion-based,8,262144,8,22.5272,941930
Insertion-based,8,262144,9,17.5691,939805
Insertion-based,8,262144,10,17.7602,941853
Insertion-based,8,262144,11,18.5463,940512
Insertion-based,8,262144,12,18.1154,942258
Insertion-based,8,262144,13,18.6459,937561
Insertion-based,8,262144,14,18.8715,938244
Insertion-based,8,262144,15,19.1749,937150
Insertion-based,8,262144,16,18.7303,939931
Insertion-based,8,262144,17,18.7518,939120
Insertion-based,8,262144,18,18.6978,938233
Insertion-based,8,262144,19,18.1157,937022
Insertion-based,8,262144,20,22.851,940944
Insertion-based,8,524288,1,39.7021,1977279
Insertion-based,8,524288,2,38.5388,1985049
Insertion-based,8,524288,3,40.0825,1984733
Insertion-based,8,524288,4,38.4468,1984208
Insertion-based,8,524288,5,39.0259,1986264
Insertion-based,8,524288,6,40.5877,1981301
Insertion-based,8,524288,7,41.3392,1981550
Insertion-based,8,524288,8,41.208,1982344
Insertion-based,8,524288,9,43.3267,1982136
Insertion-based,8,524288,10,40.0869,1981306
Insertion-based,8,524288,11,38.4853,1983432
Insertion-based,8,524288,12,39.3447,1982922
Insertion-based,8,524288,13,42.7151,1980563
